Genome Name,Study,Sample Name,Assembler,Genome Size,N50,# Contigs,Completeness,Contamination,Strain Heterogeneity,SGB ID
AsnicarF_2017__MV_FEI5_t3Q15__bin.17,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2113140,5996,449,92.45283019,4.481132075,0.0809392,6806
AsnicarF_2017__MV_FEI5_t3Q15__bin.2,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1917678,106163,43,92.47311828,0.076804916,0.8640131,17256
AsnicarF_2017__MV_FEI5_t3Q15__bin.20,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1684420,6507,349,90.43624161,1.342281879,0.1326414,4285
AsnicarF_2017__MV_FEI5_t3Q15__bin.22,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2314654,11357,282,97.0521542,0.742115028,0.3082975,15286
AsnicarF_2017__MV_FEI5_t3Q15__bin.23,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1886322,8674,297,66.23376623,3.571428571,2.1404677,15342
AsnicarF_2017__MV_FEI5_t3Q15__bin.4,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2050423,4805,497,76.06263982,0.838926174,0.3095931,5089
AsnicarF_2017__MV_FEI5_t3Q15__bin.6,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,4098441,19812,347,98.86603376,1.075949367,0.1536656,4844
AsnicarF_2017__MV_FEI5_t3Q15__bin.7,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1356698,5504,295,80.96064838,1.432361365,0.3153066,8002
AsnicarF_2017__MV_FEI5_t3Q15__bin.8,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1859962,6495,354,66.23376623,0.811688312,2.257241,15316
AsnicarF_2017__MV_FEM1_t1Q14__bin.1,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,1954245,15610,191,97.35576923,1.121794872,0.2453031,2318
AsnicarF_2017__MV_FEM1_t1Q14__bin.10,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,1269234,3047,437,51.09874253,0,1.7147444,15342
AsnicarF_2017__MV_FEM1_t1Q14__bin.12,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,2071048,11276,270,54.63949843,1.724137931,0.8180054,1644
AsnicarF_2017__MV_FEM1_t1Q14__bin.15,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,2154272,44298,71,98.80239521,0.598802395,0.045736,5767
AsnicarF_2017__MV_FEM1_t1Q14__bin.18,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,2033835,36022,92,100,0,0.0392397,5736
AsnicarF_2017__MV_FEM1_t1Q14__bin.20,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,4895586,12408,617,93.9221159,3.007518797,0.2470923,1814
AsnicarF_2017__MV_FEM1_t1Q14__bin.22,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,1538618,5443,339,55.42264753,0,0.1517484,4933
AsnicarF_2017__MV_FEM1_t1Q14__bin.4,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,1633337,4072,451,73.59162091,1.403294692,0.5844507,4367
AsnicarF_2017__MV_FEM1_t1Q14__bin.6,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,3362941,75204,70,94.6031746,1.825396825,0.0617947,2230
AsnicarF_2017__MV_FEM1_t1Q14__bin.8,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,2286287,19207,182,92.07214765,0.33557047,0.0547182,5111
AsnicarF_2017__MV_FEM1_t1Q14__bin.9,AsnicarF_2017,MV_FEM1_t1Q14,metaSPAdes,1685106,9852,218,58.62068966,0,0.3112434,1626
AsnicarF_2017__MV_FEM2_t1Q14__bin.1,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1369606,4227,364,85.26249209,0,0.3182589,9346
AsnicarF_2017__MV_FEM2_t1Q14__bin.11,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,3336662,72008,85,93.17460317,2.301587302,0.026492,2230
AsnicarF_2017__MV_FEM2_t1Q14__bin.14,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2965995,30137,141,99.18414918,1.165501166,0.0745307,15369
AsnicarF_2017__MV_FEM2_t1Q14__bin.16,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2200209,5059,510,78.32774049,1.454138702,0.3611884,5117
AsnicarF_2017__MV_FEM2_t1Q14__bin.17,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2863995,30575,138,94.55782313,0,0.0651792,9223
AsnicarF_2017__MV_FEM2_t1Q14__bin.18,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1368066,4247,361,56.44764957,2.179487179,1.4589368,2318
AsnicarF_2017__MV_FEM2_t1Q14__bin.19,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1662066,10198,241,93.62416107,0.111856823,0.0548668,4328
AsnicarF_2017__MV_FEM2_t1Q14__bin.2,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1319303,14210,132,92.13483146,1.123595506,0.0109889,1024
AsnicarF_2017__MV_FEM2_t1Q14__bin.20,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2525567,13808,299,85.23489933,0.711180598,0.900826,15107
AsnicarF_2017__MV_FEM2_t1Q14__bin.24,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1940430,6303,389,94.52095808,2.694610778,0.1765983,5792
AsnicarF_2017__MV_FEM2_t1Q14__bin.25,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,4466266,24275,310,91.90969849,2.490601504,0.2034044,1814
AsnicarF_2017__MV_FEM2_t1Q14__bin.26,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2345478,5262,531,79.22357634,4.714170692,0.4362778,4938
AsnicarF_2017__MV_FEM2_t1Q14__bin.29,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2050728,5402,479,77.30005593,0.469798658,0.3563441,5082
AsnicarF_2017__MV_FEM2_t1Q14__bin.30,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,960568,125774,15,87.21278721,0,0.0198538,17322
AsnicarF_2017__MV_FEM2_t1Q14__bin.31,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1688884,11182,198,97.73333333,0,0.0633841,714
AsnicarF_2017__MV_FEM2_t1Q14__bin.32,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,1580170,15141,153,88.84408602,0,0.1306968,14099
AsnicarF_2017__MV_FEM2_t1Q14__bin.7,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2688079,15779,245,92.99516908,4.267310789,0.2061716,4914
AsnicarF_2017__MV_FEM2_t1Q14__bin.8,AsnicarF_2017,MV_FEM2_t1Q14,metaSPAdes,2226825,4282,598,83.4787472,4.258948546,0.3879693,4644
AsnicarF_2017__MV_FEM3_t1Q14__bin.1,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,1091748,3807,308,79.49438202,2.247191011,0.1153873,6478
AsnicarF_2017__MV_FEM3_t1Q14__bin.13,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,2975499,77794,63,98.87820513,1.923076923,0.2571498,2301
AsnicarF_2017__MV_FEM3_t1Q14__bin.15,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,2626960,37368,115,92.86324786,0,0.539344,2326
AsnicarF_2017__MV_FEM3_t1Q14__bin.16,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,2248114,9493,323,89.20940171,1.442307692,1.7328188,2321
AsnicarF_2017__MV_FEM3_t1Q14__bin.19,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,1738502,6003,348,91.87512711,2.684563758,0.3693342,4285
AsnicarF_2017__MV_FEM3_t1Q14__bin.2,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,2535540,32251,142,91.58653846,1.201923077,1.6141857,2295
AsnicarF_2017__MV_FEM3_t1Q14__bin.23,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,2665193,29999,131,96.97986577,0.67114094,0.0770806,4198
AsnicarF_2017__MV_FEM3_t1Q14__bin.24,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,1735990,9185,255,85.49356823,1.799877974,1.2154115,15089
AsnicarF_2017__MV_FEM3_t1Q14__bin.28,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,2001965,28386,117,91.94630872,0,0.0703559,14263
AsnicarF_2017__MV_FEM3_t1Q14__bin.29,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,3638263,7504,633,89.27343909,2.796420582,0.8404164,15233
AsnicarF_2017__MV_FEM3_t1Q14__bin.32,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,4003872,60571,107,96.22171946,0.192307692,0.1234924,1949
AsnicarF_2017__MV_FEM3_t1Q14__bin.33,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,1925501,84738,43,97.98657718,0,0.0196266,4335
AsnicarF_2017__MV_FEM3_t1Q14__bin.6,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,1673573,11383,189,96.63157895,0.8,0.0427834,714
AsnicarF_2017__MV_FEM3_t1Q14__bin.8,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,7223558,7789,1239,69.79623824,3.448275862,0.8974763,1845
AsnicarF_2017__MV_FEM3_t1Q14__bin.9,AsnicarF_2017,MV_FEM3_t1Q14,metaSPAdes,3193232,67313,86,99.62264151,0,0.0862549,1965
AsnicarF_2017__MV_FEM4_t1Q14__bin.11,AsnicarF_2017,MV_FEM4_t1Q14,metaSPAdes,2202951,13158,253,97.53557401,3.113772455,0.1633028,5792
AsnicarF_2017__MV_FEM4_t1Q14__bin.2,AsnicarF_2017,MV_FEM4_t1Q14,metaSPAdes,3353295,82707,74,98.64864865,0.675675676,0.05344,1626
AsnicarF_2017__MV_FEM4_t1Q14__bin.4,AsnicarF_2017,MV_FEM4_t1Q14,metaSPAdes,2478389,4857,605,78.60214463,2.230273752,0.2715588,4914
AsnicarF_2017__MV_FEM4_t1Q14__bin.5,AsnicarF_2017,MV_FEM4_t1Q14,metaSPAdes,1427411,3650,439,63.5035302,4.376417234,1.9706557,15316
AsnicarF_2017__MV_FEM4_t1Q14__bin.6,AsnicarF_2017,MV_FEM4_t1Q14,metaSPAdes,4475561,36752,204,98.03125596,1.257861635,0.0489206,1814
AsnicarF_2017__MV_FEM4_t1Q14__bin.7,AsnicarF_2017,MV_FEM4_t1Q14,metaSPAdes,3149723,13129,357,91.89384552,0.743494424,0.3580274,1798
AsnicarF_2017__MV_FEM4_t2Q15__bin.1,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,1658657,14498,170,96.12809316,0.145560408,0.0290012,8002
AsnicarF_2017__MV_FEM4_t2Q15__bin.11,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2109188,39272,86,96.37096774,0.230414747,0.0739716,17248
AsnicarF_2017__MV_FEM4_t2Q15__bin.12,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2026128,8695,327,91.38046488,3.562874251,0.00997,5854
AsnicarF_2017__MV_FEM4_t2Q15__bin.13,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,1186202,60400,40,59.74242424,0.454545455,0.0339105,17237
AsnicarF_2017__MV_FEM4_t2Q15__bin.14,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2280216,59048,61,97.98657718,0,0.00585,14861
AsnicarF_2017__MV_FEM4_t2Q15__bin.15,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,1505362,10515,199,54.62662338,0,0.2175752,15342
AsnicarF_2017__MV_FEM4_t2Q15__bin.16,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,1692995,6300,357,83.17510549,2.109704641,0.00386,6962
AsnicarF_2017__MV_FEM4_t2Q15__bin.17,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,4669690,8841,712,79.65517241,1.724137931,0.1092642,1814
AsnicarF_2017__MV_FEM4_t2Q15__bin.18,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2061316,45354,95,89.98556999,3.825757576,0.0566258,17244
AsnicarF_2017__MV_FEM4_t2Q15__bin.24,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2274032,6564,438,84.86394558,2.607709751,0.0932662,15291
AsnicarF_2017__MV_FEM4_t2Q15__bin.25,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,1539683,3490,474,70.17897092,2.181208054,0.0335065,4367
AsnicarF_2017__MV_FEM4_t2Q15__bin.27,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,1557254,5378,343,79.78378585,1.006711409,0.5968531,15091
AsnicarF_2017__MV_FEM4_t2Q15__bin.28,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2139903,44611,75,98.07692308,0.961538462,0.00624,2318
AsnicarF_2017__MV_FEM4_t2Q15__bin.29,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2096836,89849,61,97.18381976,1.766513057,0.0401178,17256
AsnicarF_2017__MV_FEM4_t2Q15__bin.30,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,3013222,35778,122,94.32244745,0.844594595,0.0101443,1626
AsnicarF_2017__MV_FEM4_t2Q15__bin.4,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2165290,58704,65,98.38709677,0.806451613,0.0170658,14507
AsnicarF_2017__MV_FEM4_t2Q15__bin.5,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,3283175,4760,826,92.10290828,3.691275168,0.0910605,4540
AsnicarF_2017__MV_FEM4_t2Q15__bin.6,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2222914,7893,380,91.62540258,0.575318401,0.0194731,4933
AsnicarF_2017__MV_FEM4_t2Q15__bin.8,AsnicarF_2017,MV_FEM4_t2Q15,metaSPAdes,2843761,20508,196,97.0464135,0.791139241,0.0260001,4874
AsnicarF_2017__MV_FEM5_t1Q14__bin.11,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1751580,15049,176,85.34675615,1.006711409,0.8962854,15091
AsnicarF_2017__MV_FEM5_t1Q14__bin.14,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1872924,33298,78,92.61744966,0.33557047,0.0280973,4290
AsnicarF_2017__MV_FEM5_t1Q14__bin.15,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1668978,27437,87,92.33870968,1.478494624,0.3247124,14311
AsnicarF_2017__MV_FEM5_t1Q14__bin.17,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1949158,8944,292,78.98254699,3.164556962,0.9697276,4874
AsnicarF_2017__MV_FEM5_t1Q14__bin.2,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,2289322,69038,56,99.19354839,0,0.09732,14313
AsnicarF_2017__MV_FEM5_t1Q14__bin.23,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1561340,2967,545,57.39373602,0.284726459,1.5693522,4644
AsnicarF_2017__MV_FEM5_t1Q14__bin.24,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,2740693,3751,800,68.28994054,4.546413502,1.1552082,5090
AsnicarF_2017__MV_FEM5_t1Q14__bin.29,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1569705,3072,520,63.56629608,0.22675737,0.6665075,9226
AsnicarF_2017__MV_FEM5_t1Q14__bin.31,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,2895211,182435,24,99.32885906,0,0.056823,5117
AsnicarF_2017__MV_FEM5_t1Q14__bin.38,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,3253140,46683,168,99.51690821,1.127214171,0.1639461,4933
AsnicarF_2017__MV_FEM5_t1Q14__bin.4,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1924743,7365,336,88.64653244,1.342281879,0.8135726,14861
AsnicarF_2017__MV_FEM5_t1Q14__bin.42,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,2076207,10107,290,89.70917226,0.894854586,0.3324676,4373
AsnicarF_2017__MV_FEM5_t1Q14__bin.43,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,2102291,15096,214,87.70833333,1.530612245,0.8800444,15333
AsnicarF_2017__MV_FEM5_t1Q14__bin.46,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1235452,48003,38,55.69620253,0.632911392,0.0610947,5825
AsnicarF_2017__MV_FEM5_t1Q14__bin.5,AsnicarF_2017,MV_FEM5_t1Q14,metaSPAdes,1388917,4434,379,69.55397092,0,0.8386789,4425
AsnicarF_2017__MV_FEM5_t3Q15__bin.11,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1436749,2794,527,50.62576266,1.114373602,0.2745143,5082
AsnicarF_2017__MV_FEM5_t3Q15__bin.12,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1999366,9329,288,96.10215054,0.806451613,0.0619781,14313
AsnicarF_2017__MV_FEM5_t3Q15__bin.13,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1926971,3936,555,83.08596166,4.761904762,0.267824,15286
AsnicarF_2017__MV_FEM5_t3Q15__bin.15,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2541670,29920,134,92.62820513,2.083333333,0.1311353,2313
AsnicarF_2017__MV_FEM5_t3Q15__bin.18,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2107679,8795,317,93.47826087,0.845410628,0.0721953,4933
AsnicarF_2017__MV_FEM5_t3Q15__bin.22,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2846530,8129,484,94.8787062,3.133423181,0.029637,6806
AsnicarF_2017__MV_FEM5_t3Q15__bin.24,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1118174,4137,305,70.78234266,1.303904429,0.0307801,13976
AsnicarF_2017__MV_FEM5_t3Q15__bin.28,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1465699,3402,470,66.55480984,0.357941834,0.1360811,4422
AsnicarF_2017__MV_FEM5_t3Q15__bin.3,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,3781323,20149,305,95.07048093,0.559701493,0.0265921,1899
AsnicarF_2017__MV_FEM5_t3Q15__bin.31,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2775713,65409,71,99.32885906,0.223713647,0.00599,5117
AsnicarF_2017__MV_FEM5_t3Q15__bin.32,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,3248872,12787,350,93.65615616,2.263513514,0.0196802,1626
AsnicarF_2017__MV_FEM5_t3Q15__bin.33,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,3532729,3749,1032,74.27461264,2.459207459,0.1224939,1949
AsnicarF_2017__MV_FEM5_t3Q15__bin.34,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1112593,3282,368,61.60440814,2.620967742,0.0383511,14332
AsnicarF_2017__MV_FEM5_t3Q15__bin.36,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2671938,26843,150,97.95918367,0,0.00642,9226
AsnicarF_2017__MV_FEM5_t3Q15__bin.38,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2053390,12667,239,95.6935123,1.006711409,0.017069,4285
AsnicarF_2017__MV_FEM5_t3Q15__bin.39,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,1350573,3303,433,75.16778523,0.559284116,0.053326,4280
AsnicarF_2017__MV_FEM5_t3Q15__bin.4,AsnicarF_2017,MV_FEM5_t3Q15,metaSPAdes,2561706,20546,193,97.48322148,0,0.011761,4198
BackhedF_2015__SID1_12M__bin.11,BackhedF_2015,SID1_12M,metaSPAdes,6114595,275311,47,90.50701187,1.442826321,0.00147,1872
BackhedF_2015__SID1_12M__bin.12,BackhedF_2015,SID1_12M,metaSPAdes,3878572,11477,478,89.48210923,1.073446328,0.5555736,4760
